from_cinema,to_cinema,distance_km,duration_min_freeflow_osrm,coord_quality_note
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（陆家嘴中心店）,4.99,6.6,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海百美汇影城（静安嘉里中心店）,7.47,9.6,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海科技影城,7.29,10.1,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海美琪大戏院,6.63,8.7,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海艺海剧院,7.58,8.8,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,世纪友谊影城（LUXE南方商城店）,20.98,22.0,"from:osm_nearby_mall;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,临港演艺中心,70.23,56.3,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,久事·上海商城剧院,7.56,9.7,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,九棵树未来艺术中心,44.31,41.2,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,佰映三克映画,8.04,8.8,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,兰心大戏院,7.23,9.1,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,博悦汇影城(BFC外滩金融中心店),4.47,6.7,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,和平影都,5.45,7.3,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,嘉定影剧院,33.18,28.4,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,国泰电影院,7.57,9.9,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,天山电影院-宛平剧院影城,12.81,14.5,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,天山电影院-虹桥艺术中心旗舰店,12.91,13.1,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,寰映影城（大融城店）,10.95,12.2,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,星轶STARX影剧院（上海宝山日月光店）,15.12,14.7,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,曹杨影城,12.27,13.6,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,朵云轩杜比全景声影城,13.72,15.3,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,沪东工人文化宫东宫影剧院,3.62,4.8,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,黄浦剧场,4.15,6.2,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（青浦天空万科广场IMAX店）,CGV影城（松江印象城杜比ULTRA 4DX店）,23.65,22.5,"from:osm_nearby_cinema;to:approx_from_address;OSRM free-flow driving, not live traffic"
